timestamp,switch_count,avg_lat,min_lat,max_lat,p95_lat,p99_lat,stddev_lat,over20,over50,over100,avg_prio,highest_prio,label
1777482527,10,26.41,8.00,74.46,74.46,74.46,18.46,7,1,0,1030.0,140,1
1777482528,45,27.43,9.17,74.04,46.92,74.04,13.01,31,2,0,1030.0,140,1
1777482529,45,26.22,12.42,63.37,45.12,63.37,10.41,29,2,0,1030.0,140,1
1777482530,43,36.03,12.12,145.00,61.75,145.00,23.31,37,4,2,1030.5,140,1
1777482531,42,40.82,18.75,128.21,66.67,128.21,19.82,40,6,2,1031.0,140,1
1777482532,42,35.33,14.88,52.33,51.71,52.33,10.01,40,4,0,1031.0,140,1
1777482533,42,37.05,16.17,130.37,54.00,130.37,20.97,40,3,2,1031.0,140,1
1777482534,43,40.26,15.87,122.21,85.50,122.21,20.35,39,5,2,1031.2,140,1
1777482535,42,35.88,16.38,75.25,69.75,75.25,13.26,40,4,0,1032.0,140,1
1777482536,43,31.89,12.92,60.67,47.92,60.67,10.38,38,1,0,1032.0,140,1
1777482537,44,34.25,12.54,135.16,48.33,135.16,17.97,40,2,1,1032.0,140,1
1777482538,42,35.35,11.71,89.67,58.08,89.67,12.85,39,3,0,1032.0,140,1
1777482539,44,34.61,14.46,140.83,48.37,140.83,19.03,41,2,1,1032.9,140,1
1777482540,42,38.24,8.62,86.92,77.12,86.92,15.62,39,7,0,1033.0,140,1
1777482541,43,30.47,16.79,67.37,45.54,67.37,10.42,35,2,0,1033.0,140,1
1777482542,42,38.92,16.42,163.96,61.08,163.96,22.74,39,6,1,1033.0,140,1
1777482543,43,43.26,13.54,179.62,112.04,179.62,33.19,41,4,3,1033.7,140,1
1777482544,43,37.56,15.00,112.00,78.62,112.00,19.78,40,4,2,1034.0,140,1
1777482545,43,36.54,12.67,129.29,59.87,129.29,19.32,38,5,1,1034.0,140,1
1777482546,43,37.96,17.46,160.54,52.79,160.54,21.15,41,5,1,1034.0,140,1
1777482547,42,38.36,17.96,132.25,64.79,132.25,18.90,38,5,1,1034.3,140,1
1777482548,42,34.40,17.96,71.12,50.71,71.12,11.79,36,3,0,1035.0,140,1
1777482549,42,39.05,15.12,139.00,65.50,139.00,24.74,37,3,2,1035.0,140,1
1777482550,43,35.88,14.92,150.29,50.71,150.29,21.15,37,4,1,1035.0,140,1
1777482551,43,36.47,18.50,122.08,55.21,122.08,17.18,40,4,1,1035.0,140,1
1777482552,42,33.22,14.71,51.83,51.75,51.83,10.35,38,4,0,1036.0,140,1
1777482553,42,33.52,11.00,95.08,59.54,95.08,14.38,38,3,0,1036.0,140,1
1777482554,43,37.83,18.37,109.92,52.96,109.92,18.60,39,4,2,1036.0,140,1
1777482555,41,38.42,18.29,84.79,57.62,84.79,14.07,38,7,0,1036.0,140,1
1777482556,43,36.77,19.33,93.21,47.21,93.21,11.90,42,1,0,1036.8,140,1
1777482557,42,34.23,16.46,51.37,47.71,51.37,8.93,38,2,0,1037.0,140,1
